Código de la transacción,Estatus de la transacción,Fecha de la transacción,Confirmación del pago,Productor(a),Código del producto,Producto,Código del precio,Nombre de este precio,Tasa de conversión (moneda de compra),Moneda de compra,Valor de compra con impuestos,Impuestos locales de compra + Tarifa de pago en cuotas,Valor de compra sin impuestos,Tasa de conversión (moneda en la que recibes los valores),Moneda en la que recibirás los valores,Facturación bruta (sin impuestos),Facturación bruta,Tipo de venta,Faturación neta del Productor(a),Comisión del Afiliado(a),Facturación del(de la) Coproductor(a),Moneda de las tarifas,Tarifa de procesamiento,Tasa de streaming,Otras tarifas,Nombre del Afiliado(a),Canal usado para la venta,Código SRC,Código SCK,Método de pago,Tipo de cobro,Cantidad total de cuotas,Cantidad de cobros,Fecha de vencimiento (vouchers),Código del cupón,Período de prueba (trial),Cantidad de ítems,Comprador(a),Email del Comprador(a),País,Teléfono,Documento,Código postal,Ciudad,C. Autónoma/Dpto./Estado/Prov.,Dirección,Barrio,Número,Apto./piso/casa,Instagram
TRX000158,Completada,2022-05-11,Sí,Kelsey Garcia,PROD155,Fall,PRC9613,Sense,1.1197,USD,608.42,115.59,492.83,0.9913,USD,497.73805351606546,625.795376712491,Marketplace,482.98605317322443,9.160068296725573,2.8026662318318705,USD,0.65,0.35,1.72,,Redes sociales,SRC-9196,SCK-6553,Tarjeta de crédito,Recurrente,6,12,2021-06-06,CUP-7704,0,2,Caleb Jackson,brittany39@example.org,Finland,2907742608,01716445-5,52974,New Kimfort,South Carolina,4771 Pace Cove,Jeffrey Views,6217,,@taylorvictoria
TRX000159,Pendiente,2024-09-26,No,Courtney Miller,PROD315,Shake,PRC7866,Week,1.0803,USD,353.37,43.11,310.26,0.9489,USD,312.63139152507546,364.3412680075838,Presencial,305.54654635261545,6.1308404313844775,3.6592415112192676,USD,1.76,0.18,0.26,,App,SRC-5800,SCK-4010,Tarjeta de crédito,Recurrente,4,9,2025-10-09,CUP-1459,27,4,Jamie Hale,brandywilson@example.com,Tokelau,(996)971-8839,45731441-5,73706,Lake Deborah,Indiana,70303 Cardenas Field,Garcia Fords,3213,,@kathleen47
TRX000160,Pendiente,2023-09-15,No,Ashley Anderson,PROD356,Whom,PRC1781,Himself,0.9594,USD,17.18,2.41,14.77,1.0762,USD,23.702704094751915,19.869433693224455,Online,8.463480155094938,5.3398258775890115,3.1572724718848564,USD,1.47,0.25,1.68,Jesse Oliver,Tienda física,SRC-3631,SCK-4624,PayPal,Recurrente,6,9,2025-12-20,CUP-9127,29,3,Natasha Allen,blopez@example.com,Panama,775.241.8156x32686,74510663-4,25332,Thompsonview,North Dakota,610 Susan Forges Apt. 009,Allen Place,5639,Apto. 2,@hillnicole
TRX000161,Pendiente,2023-12-05,No,James Robinson,PROD789,Than,PRC9363,Until,0.995,USD,541.36,106.35,435.01,1.0946,USD,440.7689445747335,545.3391622127375,Online,428.5186904810042,1.7453883572945839,7.803090980992371,USD,2.21,0.29,1.26,Kathleen Jackson,App,SRC-3549,SCK-4012,PayPal,Recurrente,11,10,2023-10-01,CUP-9743,12,1,Michael Jackson,rachel20@example.net,Lebanon,(550)924-1209x57907,10094388-2,99459,Port Clifford,Maryland,7584 King Mount Apt. 545,Rodriguez Spur,1297,Apto. 11,@hernandezrobert
TRX000162,Pendiente,2021-07-13,No,Heather Johnson DDS,PROD523,Safe,PRC3741,Lawyer,0.8736,USD,189.02,23.75,165.27,0.8092,USD,171.71644293155188,194.36944781741278,Marketplace,162.5575189864865,4.448983876479717,8.628064836470026,USD,1.56,0.25,1.49,,App,SRC-5313,SCK-6148,Transferencia,Recurrente,2,2,2025-01-06,CUP-7824,29,4,Hannah Rivera,rlandry@example.com,Comoros,7986591679,10727284-9,73657,West Tommy,California,70349 Brian Inlet Apt. 650,John Keys,8986,,
TRX000163,Completada,2024-10-27,Sí,Kathryn Mullen,PROD855,Option,PRC5655,Clear,0.9773,USD,333.28,66.53,266.75,0.8506,USD,272.93102171683864,335.35856808043303,Marketplace,265.9068873334801,9.315895802190253,3.898462080163557,USD,4.27,0.03,1.33,,Tienda física,SRC-1423,SCK-6914,Efectivo,Recurrente,9,5,2022-04-18,CUP-7536,14,2,Walter Garcia,samantha94@example.org,Mongolia,(959)423-4268x34414,66128758-5,61892,Ronaldchester,Nebraska,80612 Buchanan Prairie Suite 298,Brown Vista,8836,Apto. 12,
TRX000164,Completada,2022-05-24,No,Aaron Aguirre,PROD415,Two,PRC6992,National,0.9649,USD,380.93,59.36,321.57,0.8623,USD,327.96528248710814,391.39919608709016,Online,318.47338671886,3.471683001641309,5.396681221360597,USD,0.5,0.82,1.7,Anthony Brown,Redes sociales,SRC-1591,SCK-4975,Tarjeta de crédito,Recurrente,8,5,2024-10-06,CUP-1980,24,4,Kelli Hart,rtaylor@example.net,Timor-Leste,(244)407-9311,91813317-0,66797,Myersville,Maryland,2384 Villarreal Ridges Apt. 620,Donald Summit,4800,,
TRX000165,Pendiente,2023-09-19,Sí,Patrick Payne,PROD369,Maybe,PRC2297,Media,0.9689,USD,314.36,35.74,278.62,0.8958,USD,282.9910636641645,332.0032413698069,Marketplace,276.1210388222881,7.149379829847652,6.459907992908601,USD,4.13,0.68,0.57,,Tienda física,SRC-4419,SCK-7546,Efectivo,Único,2,3,2022-07-21,CUP-1766,9,1,Drew Wilson,tsmith@example.org,Oman,+1-597-705-2774x0258,86812259-5,60726,West Kristen,Texas,1767 Barbara Parkways Suite 259,Silva Village,7461,Apto. 40,@bjones
TRX000166,Pendiente,2024-09-08,Sí,Brent Rodriguez,PROD832,World,PRC8183,Respond,1.0908,USD,355.53999999999996,40.39,315.15,0.8931,USD,315.64632072223094,355.9279079449399,Online,309.80029246940234,1.8593759814152566,1.0227348865653973,USD,0.57,0.22,0.84,,Redes sociales,SRC-7533,SCK-1266,PayPal,Recurrente,12,1,2025-07-04,CUP-0941,2,2,Paul Alexander,catherine02@example.com,Botswana,001-576-529-8334x774,26831901-3,04857,North Michael,Nebraska,2873 Ashley Mountains,Kelly Points,919,Apto. 18,@lauriegonzales
TRX000167,Completada,2023-07-23,No,Laura Martinez,PROD889,Nation,PRC8257,Fire,0.8989,USD,271.34000000000003,30.97,240.37,1.1978,USD,248.5425072399957,288.1707857588052,Online,232.08747952605668,1.2196155618577076,7.681456708511898,USD,2.57,0.77,1.04,,Redes sociales,SRC-1173,SCK-0985,Efectivo,Recurrente,6,3,2021-06-06,CUP-4465,23,1,Seth Donaldson,fergusonjohn@example.net,Venezuela,+1-284-769-0819x740,64350238-5,99767,East Trevorshire,South Carolina,1699 Paige Neck,Joseph Canyon,9005,,@johnsonwilliam
TRX000168,Pendiente,2023-09-06,Sí,Eric Horn,PROD271,Drive,PRC5523,Against,1.0339,USD,364.78,41.91,322.87,0.9583,USD,331.506576657496,382.5303915208708,Online,320.69211750944896,1.1292845931623752,6.3290896590174475,USD,0.54,0.04,1.57,Allison Casey,App,SRC-3896,SCK-0870,PayPal,Único,4,3,2023-01-25,CUP-6266,2,5,Ashley Wilson,michael56@example.org,Dominica,219.503.6890,01027240-5,46332,West David,Montana,111 Mays Ford Suite 537,Pugh Tunnel,5545,,@misty38
TRX000169,Pendiente,2024-11-22,No,Joshua Garcia,PROD850,Half,PRC4161,Wear,0.8085,USD,392.7,66.86,325.84,0.9511,USD,327.0982745766522,408.52932488730426,Marketplace,323.51325369143933,9.816757109638335,7.885618257868735,USD,1.11,0.9,0.97,Trevor Tucker,Tienda física,SRC-1328,SCK-3483,Efectivo,Único,10,3,2021-10-23,CUP-2037,11,3,Jordan Wilson,rhuff@example.com,Namibia,(541)504-9670x6670,62680408-5,03907,Sandraview,Wisconsin,59660 Angela Stravenue,Garrison Place,7675,,@ucoleman
TRX000170,Completada,2023-04-10,Sí,Carla James,PROD734,Skill,PRC6965,Window,1.1104,USD,98.36999999999999,12.41,85.96,0.8955,USD,89.6311270700454,103.63698537790863,Marketplace,85.9528017127575,6.380260624435374,3.7904356966657735,USD,0.79,0.97,1.64,Terry Campbell,Redes sociales,SRC-4138,SCK-4596,Transferencia,Recurrente,6,7,2021-07-11,CUP-4544,10,1,Rhonda Franklin,parkerdonna@example.com,Tanzania,(977)507-0705,60914985-1,58230,West Katie,Louisiana,2322 Jesse Shoal Apt. 287,Williams Stravenue,1578,,@bruceklein
TRX000171,Pendiente,2021-09-22,No,Michael Mathews,PROD638,Head,PRC5193,Now,0.8196,USD,529.05,59.53,469.52,0.8883,USD,470.5905516848989,529.6754750791309,Marketplace,467.6038335976933,0.31817149899990627,6.4175166812762265,USD,0.82,0.93,0.42,Lindsay Bailey,Web,SRC-1871,SCK-8133,Efectivo,Único,6,9,2022-08-23,CUP-5616,26,3,Briana Nguyen,matthew65@example.com,Western Sahara,790-725-0429x0193,36902611-3,74609,Ryanville,North Dakota,788 Stewart Fields,Bartlett Isle,956,Apto. 40,
TRX000172,Pendiente,2021-08-24,Sí,Heidi Bryant,PROD297,Smile,PRC9621,Business,1.0628,USD,453.08,83.27,369.81,1.028,USD,371.96900063221057,454.6387074972098,Online,364.6151472680927,1.0122512076178136,2.310180033122081,USD,3.01,0.56,1.49,,Tienda física,SRC-3765,SCK-1588,Efectivo,Recurrente,2,3,2021-01-25,CUP-5793,17,4,Jason Hudson,sarasanchez@example.com,Peru,001-829-844-5511,82973270-2,16333,Bakerside,Virginia,120 Johnson Expressway Apt. 288,Strong Knoll,8269,,
TRX000173,Cancelada,2021-01-25,No,Dana Carter,PROD945,Great,PRC6299,Watch,1.0434,USD,376.91999999999996,72.96,303.96,1.0253,USD,309.46081342395115,394.9696994130544,Online,293.99149685825,8.448540149012171,4.123432916714576,USD,2.19,0.55,1.49,Gabrielle Franklin,Redes sociales,SRC-1015,SCK-7676,Efectivo,Recurrente,1,12,2021-12-04,CUP-7229,9,5,Taylor Miller,watkinsmitchell@example.net,Korea,(857)628-9413x4750,56522036-8,36972,Coryport,Hawaii,4773 Keith Green,Sandra Shores,268,,
TRX000174,Pendiente,2021-10-28,Sí,Juan Romero,PROD196,Concern,PRC1618,Ahead,0.9841,USD,180.8,22.9,157.9,0.8624,USD,166.45720425508208,185.2377340696488,Presencial,157.68298628542402,8.219399224471145,6.89719183909427,USD,2.15,0.58,0.47,,Web,SRC-9088,SCK-3070,Efectivo,Único,12,2,2022-09-26,CUP-4967,25,4,Sandra Phillips,moransamantha@example.org,Kenya,(774)612-4151x31528,78150618-5,25456,Lake Courtneybury,Florida,34727 Jessica Haven Apt. 318,Aaron Cliff,2833,,
TRX000175,Pendiente,2022-11-19,No,Michelle Williams,PROD988,Rise,PRC2974,Everyone,1.1479,USD,190.14,32.95,157.19,0.8907,USD,157.97477395922854,201.66567392312675,Marketplace,156.6307729117668,7.709015036701384,3.479302069529332,USD,4.32,0.93,1.27,,Web,SRC-9693,SCK-5782,PayPal,Único,6,9,2025-08-12,CUP-3477,4,3,Jenna Howard,ophillips@example.org,Turkmenistan,001-446-975-3612x75156,79630448-3,54110,New Kelseyview,Utah,6766 Gaines Grove Suite 350,West Forges,8232,,@amandachan
TRX000176,Pendiente,2020-12-25,Sí,Lisa Anderson,PROD235,Notice,PRC6507,Again,0.833,USD,424.96999999999997,84.89,340.08,1.0286,USD,347.6084020301053,444.39080489480733,Online,334.3274514614992,0.9008295254473109,4.319356701506899,USD,2.97,0.26,0.8,Alisha Gray,App,SRC-5581,SCK-0835,Transferencia,Recurrente,9,4,2023-10-17,CUP-2863,12,5,Christopher Brooks,ulewis@example.org,Wallis and Futuna,4006818670,40330416-6,17696,Michelleland,California,08921 Lee Rest Suite 568,Kevin Mount,3213,,@corycosta
TRX000177,Completada,2023-04-24,No,Jeffrey Walker,PROD452,Investment,PRC1396,Option,1.1079,USD,163.57999999999998,23.11,140.47,0.8677,USD,146.23018237245043,177.27475944699913,Presencial,139.3447012859771,4.135820524658307,3.6526764443746096,USD,3.27,0.99,0.88,Duane Warner,Web,SRC-8360,SCK-7658,Transferencia,Único,11,6,2024-03-22,CUP-7390,24,1,David Wood,daymartin@example.net,Belize,882-937-9312,89307464-5,20242,West Hannahchester,Alabama,387 Edwards Run Apt. 577,Samantha Manors,1842,,@bennettkatherine
TRX000178,Pendiente,2021-03-29,Sí,Carol Kim,PROD439,Build,PRC4424,American,1.096,USD,352.68,38.39,314.29,0.8848,USD,317.16685088915625,369.32889511766047,Marketplace,310.85728627578953,8.042807736342995,3.0511805005417436,USD,2.85,0.26,0.97,,App,SRC-6728,SCK-7286,Tarjeta de crédito,Recurrente,10,11,2023-03-02,CUP-4164,1,3,Shirley Nelson,christina59@example.net,Chad,(948)939-5894,35228705-6,23992,South Carlos,Alabama,331 Rivera Circle Suite 921,Fields Fork,2791,Apto. 4,@courtney34
TRX000179,Cancelada,2021-11-07,No,Jessica Daniel,PROD985,Hold,PRC2767,Probably,0.8076,USD,400.73,49.43,351.3,1.147,USD,360.7517648226272,410.0292163680133,Marketplace,350.63402207578383,6.603728254982112,6.629816357201557,USD,2.24,0.98,1.02,,Tienda física,SRC-6488,SCK-3192,Efectivo,Único,3,4,2021-08-25,CUP-3424,30,4,Beth Boyd,xrivera@example.net,Netherlands,497-932-0331x922,05102876-7,43373,Vincentville,Kansas,6754 Schmidt Rapids Apt. 242,Castro Overpass,9187,,@gina86
TRX000180,Pendiente,2023-09-10,Sí,Sean Wyatt,PROD613,Spend,PRC5519,Religious,1.1248,USD,529.23,67.32,461.91,1.0503,USD,469.3539071980868,539.0286569096744,Presencial,461.7262777463511,6.843113552921495,3.5537813324653333,USD,4.51,0.81,0.06,,Tienda física,SRC-5639,SCK-8365,Transferencia,Único,6,7,2022-04-01,CUP-0375,4,1,Abigail Collins,bartlettruth@example.net,Uruguay,6942047604,90797727-8,14117,West Anthonyberg,Virginia,16107 Leon Walks,Lucero Fields,6263,,@cookemily
TRX000181,Cancelada,2024-12-04,Sí,Caroline Andersen,PROD983,Seven,PRC3262,Yet,0.9236,USD,338.39000000000004,47.67,290.72,1.0821,USD,296.77368884871044,344.63765528883573,Marketplace,286.22830814672756,1.317721322682296,6.524726460768023,USD,4.59,0.43,1.82,,App,SRC-5806,SCK-6013,PayPal,Único,9,9,2024-09-20,CUP-8241,5,3,Andrew Franklin,vthompson@example.org,Georgia,385-415-7919x711,12590203-5,60839,Lake Sherryport,Utah,240 Mccarthy Fall,Taylor Island,2385,,
TRX000182,Pendiente,2022-07-02,Sí,Denise Gonzalez,PROD897,Find,PRC4079,Event,0.8427,USD,512.79,71.53,441.26,0.8739,USD,445.69004487049654,521.0150352655869,Marketplace,431.92231475608804,8.941300931338027,9.332500304158003,USD,3.28,0.61,1.22,,App,SRC-7417,SCK-5955,Tarjeta de crédito,Recurrente,2,12,2024-12-17,CUP-8720,4,5,Lauren Moore,victoriahamilton@example.net,Sudan,+1-243-358-8418x34374,82727955-9,50034,West Jacquelinestad,Alabama,7551 Robin Inlet,Steven Ferry,9908,Apto. 31,@gonzaleschristina
TRX000183,Pendiente,2023-05-26,Sí,Monica Wells,PROD860,Either,PRC4323,Entire,1.1031,USD,234.05,34.19,199.86,0.8265,USD,202.122730600851,237.32572750944792,Presencial,195.77410839821854,9.68815080933379,9.254350831349097,USD,4.4,0.49,0.65,Lindsay Olson,App,SRC-6403,SCK-8166,Efectivo,Recurrente,1,10,2024-10-31,CUP-9690,23,3,Christopher Turner,stephaniebradley@example.org,Bulgaria,+1-450-614-2576x27023,41233613-2,90247,Adamburgh,Minnesota,8637 Guerra Squares,Kathryn Court,6458,,
TRX000184,Cancelada,2022-05-15,No,Timothy Ross,PROD628,General,PRC1807,Water,0.8759,USD,283.11,51.82,231.29,0.9758,USD,241.2483637152405,283.95831832018195,Presencial,226.10297347412487,3.9561119663589173,7.351700815502674,USD,3.98,0.29,0.33,Michael Salas,Web,SRC-9681,SCK-5790,Transferencia,Recurrente,11,8,2021-09-01,CUP-9235,23,5,Jonathan Smith,pmelendez@example.org,Burundi,630.834.6156x2624,70462268-1,61439,West Ginaville,Tennessee,25298 Parks Branch Suite 660,Coleman Streets,1855,,@munozleah
TRX000185,Pendiente,2022-09-06,Sí,John Rogers,PROD835,Nor,PRC3024,His,0.8365,USD,185.98,17.48,168.5,1.0825,USD,177.46617507283645,195.05361471508672,Marketplace,159.54205092773347,8.825484473607183,0.9017966128947053,USD,2.13,0.52,0.77,,App,SRC-1268,SCK-6120,Efectivo,Recurrente,1,3,2022-08-03,CUP-9438,18,2,Monica Gibson,marshallbill@example.com,Kuwait,(609)754-6540x842,60754091-5,96433,New Joannabury,Idaho,122 Jordan Harbor,Bonilla Spurs,2657,,
TRX000186,Completada,2023-07-08,Sí,Stephanie Randolph,PROD737,Tend,PRC5146,Need,0.8049,USD,40.28,5.14,35.14,0.9991,USD,44.749661135543754,54.88323494205332,Presencial,32.252194625552534,1.8069602636660609,8.985419134167659,USD,2.95,0.01,1.77,Amanda Nguyen,Redes sociales,SRC-0291,SCK-6815,Efectivo,Recurrente,8,2,2025-11-28,CUP-4660,19,1,Paul Griffith,copelandryan@example.org,South Africa,794.949.8830,36424809-6,24259,Josephchester,Indiana,2447 Davis Fork,Jenna Forges,4010,Apto. 36,
TRX000187,Cancelada,2020-10-01,No,Michael Wilcox,PROD439,Per,PRC2436,Kitchen,0.8196,USD,346.58,63.38,283.2,0.9668,USD,284.68256168179687,347.5583759988606,Online,276.6672312178448,0.3672105182241203,8.538292872341877,USD,1.23,0.28,1.32,,App,SRC-9586,SCK-7805,Efectivo,Recurrente,1,2,2022-07-22,CUP-5727,10,3,Kathryn Patel,emilyscott@example.org,Panama,001-617-685-1385,57702992-9,46589,Perrytown,Wisconsin,736 Nicholas Vista Apt. 163,Victoria Ports,6209,Apto. 5,
TRX000188,Completada,2021-11-17,Sí,Pamela Joyce,PROD211,Institution,PRC9666,Oil,1.1949,USD,48.940000000000005,7.13,41.81,0.9935,USD,50.40407941061397,51.38046460011891,Marketplace,38.51791473038102,4.137579092729554,2.098453692781143,USD,3.22,0.79,1.41,Paul Barnes,Tienda física,SRC-9455,SCK-1588,PayPal,Recurrente,3,10,2023-11-19,CUP-3677,15,5,Tim Moore,ricardosmith@example.com,Serbia,421.369.6663x093,99605932-9,82485,Cohenstad,Alaska,832 Wood Well Apt. 273,Anderson Circles,8155,,
TRX000189,Completada,2024-11-25,No,Joel Sanchez,PROD523,Player,PRC1745,Life,0.9335,USD,141.84,17.81,124.03,1.0242,USD,125.21207134485147,145.71110874080375,Marketplace,119.38114365626419,7.967325532281825,7.374683756237461,USD,1.46,0.64,1.38,Rebecca Kaufman DDS,Web,SRC-1952,SCK-3710,PayPal,Recurrente,9,9,2024-08-17,CUP-6876,24,1,Jason Green,baldwincatherine@example.net,Rwanda,9778046056,11249125-6,86554,Donaldbury,New Mexico,1517 Goodwin Throughway,Peterson Spurs,1866,Apto. 44,@crivera
TRX000190,Pendiente,2023-12-05,Sí,Linda Juarez,PROD761,Choose,PRC3224,Nearly,0.9926,USD,435.16999999999996,70.22,364.95,1.0509,USD,366.70629088237996,435.75234763622916,Marketplace,361.6448516790699,3.3793685527354302,6.724729573660214,USD,4.53,0.46,1.63,,Web,SRC-4035,SCK-9544,PayPal,Recurrente,9,9,2025-03-07,CUP-2947,6,5,Megan Moore,dwaynecarter@example.com,Equatorial Guinea,+1-830-939-4290x4588,92529858-5,50043,Wonghaven,New Mexico,6015 Kyle Fork,Joshua Tunnel,5435,,
TRX000191,Cancelada,2024-01-27,Sí,Craig Porter,PROD985,Over,PRC6050,While,1.0821,USD,162.86,15.43,147.43,0.9258,USD,153.6951084761525,182.53237537730348,Online,139.00594225064148,5.70981641156145,3.895662738932587,USD,1.72,0.09,1.75,Alexandria Francis,Tienda física,SRC-8335,SCK-0615,Transferencia,Recurrente,3,2,2023-06-30,CUP-4888,25,1,Tracy Brown,johnrobles@example.org,Portugal,+1-433-672-0948x4131,03339977-1,70877,West Kristyland,Illinois,71731 Carmen Hills Apt. 961,Waters Fields,3312,Apto. 6,
TRX000192,Pendiente,2023-05-17,Sí,Nicole Gay,PROD887,Enter,PRC2609,Somebody,1.1289,USD,496.17999999999995,94.66,401.52,1.1752,USD,404.9211590423909,499.2615555438714,Marketplace,396.685280570653,8.738790938528474,3.103587089146167,USD,4.97,0.21,0.07,Devin Welch,Web,SRC-5878,SCK-4448,Tarjeta de crédito,Recurrente,1,11,2022-07-06,CUP-4884,27,1,Ashley Sherman,tonyflores@example.net,Latvia,522.516.4175x8231,48458714-9,28064,West Eric,Wyoming,29258 Valdez Turnpike Suite 434,Michael Village,5461,,@nathan45
TRX000193,Pendiente,2024-01-24,No,Emily Parker,PROD645,Order,PRC6228,Increase,1.1091,USD,467.08000000000004,81.65,385.43,1.0684,USD,393.0149382066833,467.5296052231729,Presencial,379.04149147956554,2.098456868594912,2.005555122535351,USD,1.17,0.27,0.03,,Web,SRC-6060,SCK-6527,Transferencia,Recurrente,9,6,2024-08-23,CUP-0334,4,3,James Morris,jnguyen@example.net,Cook Islands,798.974.1132,97067349-9,49655,North Brianmouth,Louisiana,4172 Mark Trail Suite 229,Andrews Points,9406,,@gonzalesmark
TRX000194,Completada,2023-03-01,Sí,Kristin Roth,PROD536,Road,PRC7421,Age,0.8716,USD,357.33,46.83,310.5,1.0384,USD,311.8007400206471,366.2029527668247,Marketplace,305.7926442099145,6.754959378425479,1.0592691886126726,USD,3.33,0.69,0.89,Randy Harrell,Tienda física,SRC-5573,SCK-2573,Transferencia,Único,8,10,2022-12-02,CUP-5344,2,4,Tasha Taylor,zsimmons@example.com,South Georgia and the South Sandwich Islands,7809850960,49511918-1,70200,Port William,Colorado,316 Owens Streets Apt. 512,Gibson Tunnel,1594,Apto. 30,
TRX000195,Pendiente,2023-11-22,Sí,Jessica Smith,PROD816,Paper,PRC6412,Finally,1.1155,USD,418.8,60.79,358.01,1.153,USD,360.2479445391686,423.43388427308923,Presencial,349.39903722944103,6.169420872483608,9.128616106767158,USD,2.69,0.07,0.23,Ronald Smith,App,SRC-3562,SCK-4395,PayPal,Recurrente,10,10,2023-04-10,CUP-3959,16,1,Raymond Harris,craigferguson@example.org,Slovakia (Slovak Republic),(685)415-5333,64335027-1,49667,South Mikaylaborough,Missouri,7633 Lawrence Crossing,Tanya Parkways,6647,,@martinjason
TRX000196,Pendiente,2025-02-17,No,Heather Cowan,PROD167,Just,PRC6582,Cut,0.8833,USD,400.07000000000005,71.84,328.23,1.0776,USD,332.23816474784434,410.7249113185667,Presencial,324.095580943333,6.208748388565411,5.479490172790012,USD,4.03,0.44,1.57,,App,SRC-3185,SCK-7481,Transferencia,Único,12,12,2025-12-16,CUP-0066,26,4,Scott Gomez,mary64@example.org,Reunion,467-204-5023,28227009-3,97474,Nathanchester,Hawaii,28225 Kristin Burgs Suite 346,Stout Greens,1874,Apto. 38,@anthony05
TRX000197,Pendiente,2020-07-29,No,Nicholas Thomas,PROD606,Involve,PRC2007,Any,0.8362,USD,67.5,9.65,57.85,1.1268,USD,61.907936971605395,73.66071447072676,Marketplace,51.86740818405564,6.855086819385492,5.964054150234413,USD,4.56,0.64,0.0,Pamela Sharp,App,SRC-2210,SCK-5316,Efectivo,Recurrente,7,10,2026-03-07,CUP-1776,14,2,Kimberly Taylor,collinsterrance@example.com,Brunei Darussalam,585-391-7793x23822,16491334-2,96187,Markmouth,Texas,56529 Julie Union Suite 032,Douglas Bypass,3370,Apto. 44,@fernandomorris
TRX000198,Cancelada,2023-04-17,Sí,Mr. Mark Montoya,PROD726,Participant,PRC9362,Into,0.9617,USD,479.85,80.62,399.23,0.851,USD,408.5967648311501,498.2200324510535,Presencial,392.052087780939,9.151179145594284,9.9028925664192,USD,0.78,0.9,1.94,Daniel Howell,Tienda física,SRC-8714,SCK-8552,Tarjeta de crédito,Recurrente,1,4,2022-04-25,CUP-7871,22,5,Gloria Stone,caseyronald@example.org,Mayotte,(713)671-1842,76818268-3,19075,Port Alvin,Washington,929 Lauren Lake Apt. 825,Craig Expressway,6460,Apto. 41,
TRX000199,Pendiente,2023-08-09,No,Courtney Arias,PROD257,Sense,PRC5726,Civil,1.199,USD,243.5,34.54,208.96,1.068,USD,210.69410106263098,247.7243214938771,Online,207.56931134311657,5.554215787693489,8.433276707267913,USD,0.55,0.65,0.29,,Redes sociales,SRC-8963,SCK-4064,Transferencia,Único,3,11,2022-12-18,CUP-8677,27,4,Nathan Evans,kingangela@example.com,Cote d'Ivoire,001-899-810-6227x2362,93351342-6,16684,East Scott,Utah,0184 Kelsey Rapid Suite 374,Amber Ridge,9903,,@whernandez
TRX000200,Cancelada,2024-12-24,Sí,Dillon Travis,PROD829,I,PRC9220,This,0.9077,USD,266.4,48.58,217.82,1.1706,USD,220.07740918411247,274.0942943566005,Marketplace,213.5722814270427,0.07429991498131283,4.981569636375001,USD,2.15,0.98,1.14,,Web,SRC-4176,SCK-9274,Efectivo,Único,3,12,2022-04-17,CUP-1199,27,3,Daisy Horn,bcopeland@example.com,Azerbaijan,+1-914-544-8564x5101,97396417-8,80014,Obrienfurt,Arizona,191 Tammy Garden,Carpenter Station,7618,,
TRX000201,Cancelada,2024-12-12,No,James Garner,PROD727,Hand,PRC1864,Radio,1.1614,USD,351.19,42.26,308.93,1.014,USD,315.56736939135277,363.80325698222015,Online,302.24282860949023,6.840740191466187,5.391972124434876,USD,2.61,0.51,0.94,,Redes sociales,SRC-7798,SCK-0660,PayPal,Recurrente,5,3,2021-07-25,CUP-2051,22,5,Jason Johnson,qatkinson@example.com,Svalbard & Jan Mayen Islands,+1-755-834-7057x42388,52715598-3,41989,Craigland,South Dakota,9726 Joseph Station Suite 557,Fischer Extension,4982,Apto. 47,@allen39
TRX000202,Completada,2021-12-25,Sí,Maria Phillips,PROD617,Opportunity,PRC2259,Nothing,1.1406,USD,272.17,30.32,241.85,0.9111,USD,251.753648293894,273.2023976958275,Online,233.7610422032043,6.2431700548006654,2.8681565437287224,USD,3.27,0.28,0.51,,App,SRC-2691,SCK-3119,Transferencia,Recurrente,6,3,2025-05-15,CUP-6425,25,2,Jennifer Morse,kirkjill@example.com,Nicaragua,001-615-237-0382,73333732-0,39402,North Meredith,New Mexico,8893 Lopez Path Suite 964,Lara Greens,7945,,@pwood
TRX000203,Completada,2022-01-12,No,Tyler Taylor,PROD843,Trade,PRC3740,Their,0.8843,USD,57.61,6.25,51.36,1.0937,USD,52.901502985180485,76.28883709396776,Presencial,46.40051724428227,9.935855747233918,7.703677891430779,USD,0.74,0.26,1.64,Mrs. Kimberly Anderson,Redes sociales,SRC-8785,SCK-1935,Efectivo,Recurrente,5,8,2024-10-06,CUP-8374,7,4,Amy Montgomery,egarza@example.org,Angola,+1-378-605-7215,94097626-3,87244,Collinsport,Michigan,862 Huffman Ridge,Jennifer Knolls,6391,Apto. 31,@hamptonchad
TRX000204,Completada,2020-10-01,Sí,Christopher Lee,PROD644,Plant,PRC6797,Staff,1.1825,USD,480.86,44.42,436.44,0.9727,USD,440.9282062362137,499.40445052106816,Marketplace,429.65506594749627,9.617627228070305,6.828763109137919,USD,4.36,0.33,0.53,Cassie White,Redes sociales,SRC-7151,SCK-1696,Efectivo,Único,12,11,2025-04-12,CUP-6725,24,2,Eric Thompson,fkoch@example.org,Colombia,263-235-1571x840,51208005-6,40643,Port Rebeccashire,Mississippi,39728 Theresa Court,Carol Ports,8519,,@patriciamccarthy
