Código de la transacción,Estatus de la transacción,Fecha de la transacción,Confirmación del pago,Productor(a),Código del producto,Producto,Código del precio,Nombre de este precio,Tasa de conversión (moneda de compra),Moneda de compra,Valor de compra con impuestos,Impuestos locales de compra + Tarifa de pago en cuotas,Valor de compra sin impuestos,Tasa de conversión (moneda en la que recibes los valores),Moneda en la que recibirás los valores,Facturación bruta (sin impuestos),Facturación bruta,Tipo de venta,Faturación neta del Productor(a),Comisión del Afiliado(a),Facturación del(de la) Coproductor(a),Moneda de las tarifas,Tarifa de procesamiento,Tasa de streaming,Otras tarifas,Nombre del Afiliado(a),Canal usado para la venta,Código SRC,Código SCK,Método de pago,Tipo de cobro,Periodicidad,Cantidad total de cuotas,Cantidad de cobros,Fecha de vencimiento (vouchers),Código del cupón,Período de prueba (trial),Cantidad de ítems,Comprador(a),Email del Comprador(a),País,Teléfono,Documento,Código postal,Ciudad,C. Autónoma/Dpto./Estado/Prov.,Dirección,Barrio,Número,Apto./piso/casa,Instagram
TRX000117,Pendiente,2023-06-25,No,Jared Schneider,PROD736,Very,PRC5395,Off,1.1514,CLP,1243.1,127.46,1115.64,0.949,EUR,1116.1,1258.26,Online,1107.12,19.9,5.12,CLP,6.91,2.89,1.63,Lisa Ramos,Redes sociales,SRC-5634,SCK-1085,Efectivo,Recurrente,Trimestral,11,3,2022-07-16,CUP-2884,4,1,Jorge Collins,katherine20@example.org,Tuvalu,+1-794-634-6810,85101749-0,59895,Tonyashire,Oregon,4492 Stone Gateway,Mark Prairie,2612,Apto. 7,
TRX000118,Completada,2021-05-24,No,Jordan Thomas,PROD599,Large,PRC2850,Them,1.155,BRL,4631.53,522.61,4108.92,0.8184,EUR,4112.51,4639.13,Marketplace,4108.63,82.14,100.62,EUR,6.67,10.42,12.6,,App,SRC-6110,SCK-6273,PayPal,Recurrente,Anual,9,9,2023-08-18,CUP-5869,22,5,Peggy Wiggins,cfields@example.net,Venezuela,962.928.2772x8813,02851961-1,48943,Billyberg,Delaware,5447 Kylie Divide Suite 044,Isaac Streets,1561,,@jsmith
TRX000119,Pendiente,2022-03-05,Sí,Jennifer Berry,PROD176,Others,PRC9055,Local,0.9283,EUR,498.51,77.38,421.13,1.1881,CLP,421.68,518.27,Marketplace,414.7,1.57,8.49,USD,2.98,0.38,1.63,Rachael Alvarez,Redes sociales,SRC-9228,SCK-7772,Efectivo,Recurrente,Mensual,2,8,2025-05-22,CUP-5199,10,1,David Foster,rubiopamela@example.net,Fiji,+1-212-509-4818x1398,78018204-3,32651,Millerside,Rhode Island,9070 Kim Mall Apt. 856,Davis Courts,8149,,@justinwhite
TRX000120,Completada,2024-04-09,No,Tristan Gregory,PROD449,Artist,PRC6953,Possible,1.1301,USD,311.3,28.31,282.99,1.1377,EUR,289.03,313.12,Marketplace,276.8,3.05,5.08,BRL,3.72,0.36,0.91,Catherine Reeves,App,SRC-4615,SCK-2654,Tarjeta de crédito,Recurrente,Mensual,6,6,2023-03-14,CUP-1033,30,3,Laurie Vasquez,ravery@example.org,Ghana,386.517.0630x489,82496718-3,19161,Amberburgh,Kansas,700 Woodward River Suite 200,Nelson Glen,8974,Apto. 34,
TRX000121,Completada,2024-08-17,No,Gregory Chen,PROD320,Pay,PRC8488,Though,1.1298,USD,527.62,78.15,449.47,1.0867,CLP,456.9,544.06,Presencial,445.38,2.54,1.96,CLP,4.67,0.84,1.18,,Redes sociales,SRC-8402,SCK-8914,Efectivo,Único,Único,1,1,2021-10-21,CUP-1284,18,5,Christine Wagner,nicole54@example.net,Korea,935-253-7950x209,02687681-1,71102,Port Lisamouth,Utah,6956 Mary Valleys,David Land,2206,,
TRX000122,Completada,2025-02-09,Sí,Daniel Smith,PROD206,Fast,PRC7347,Response,1.063,EUR,327.44,46.36,281.08,1.0016,BRL,290.32,339.14,Presencial,273.27,9.1,6.92,USD,1.73,0.96,1.94,Heather Davis,App,SRC-9433,SCK-7504,Transferencia,Único,Único,1,1,2023-06-23,CUP-9303,19,5,Miss Ashley Ramirez,mjackson@example.net,Saint Vincent and the Grenadines,001-699-521-9212,84308948-7,00757,Davidsonton,Massachusetts,4187 Ward Trace Apt. 304,Patel Island,4898,Apto. 45,
TRX000123,Completada,2020-06-16,No,Brad Armstrong,PROD827,Ago,PRC2890,Sing,1.1043,BRL,129.44,21.0,108.44,1.0331,BRL,111.89,135.25,Marketplace,101.72,9.81,6.5,EUR,4.45,0.42,0.03,Michael Rosario,Redes sociales,SRC-3325,SCK-4110,Transferencia,Único,Único,1,1,2022-11-27,CUP-0954,21,1,John Benjamin,underwoodapril@example.org,Western Sahara,299-271-7911,65120704-9,82576,Joneston,Oklahoma,6619 Hall Rapid,Shawn Mountain,3276,,
TRX000124,Cancelada,2024-05-28,Sí,Lisa Morgan,PROD860,Writer,PRC7371,Republican,0.895,EUR,507.07,85.77,421.3,1.0772,CLP,428.84,512.97,Presencial,420.98,8.14,1.02,BRL,2.37,0.79,1.37,,Web,SRC-0785,SCK-9311,Tarjeta de crédito,Recurrente,Mensual,12,5,2020-10-11,CUP-1939,19,4,Jordan Kelly,chardy@example.org,Ecuador,(600)424-9685,27495450-8,77366,North John,Oklahoma,5333 Matthew Shores,Neal Mountain,3696,Apto. 41,
TRX000125,Cancelada,2023-06-06,Sí,Kenneth Mccarty,PROD486,Power,PRC1665,Firm,0.9714,EUR,485.8,95.49,390.31,0.852,EUR,392.08,491.68,Online,383.48,1.87,1.74,EUR,2.6,0.94,0.08,,Web,SRC-6521,SCK-7073,PayPal,Único,Único,1,1,2025-09-19,CUP-3379,25,5,John Tate,lindsay63@example.com,Colombia,6509150812,39500334-2,29198,Jennifermouth,Oklahoma,30241 Marie Dam,Pena Creek,9014,,
TRX000126,Completada,2022-02-14,Sí,Jesus Wood,PROD779,Hotel,PRC6437,Recent,0.9324,EUR,1593.68,180.32,1413.36,0.8874,BRL,1418.41,1595.04,Marketplace,1409.2,64.44,11.03,CLP,12.19,4.15,5.77,,App,SRC-2896,SCK-1122,Tarjeta de crédito,Recurrente,Anual,11,6,2024-12-09,CUP-3865,29,1,Jeffrey Fields,hinesbrenda@example.net,French Polynesia,(553)304-2897,79128685-7,68513,Whitestad,North Dakota,774 Little Turnpike Apt. 333,Roy Locks,6323,Apto. 17,@kevinoneal
TRX000127,Completada,2023-04-15,Sí,Jacqueline Pierce,PROD741,Center,PRC2072,Society,0.8843,USD,5648.13,807.57,4840.56,1.146,BRL,4849.54,5649.01,Online,4838.63,61.67,113.79,USD,35.04,8.43,23.43,,Web,SRC-1478,SCK-5390,Transferencia,Recurrente,Anual,1,8,2023-03-23,CUP-9567,1,1,Jason Ballard,joshua02@example.com,Djibouti,315-314-8881x431,50835354-4,98177,Jamesberg,Wisconsin,44566 Thomas Passage Apt. 633,Thomas Path,1201,,
TRX000128,Cancelada,2023-05-14,Sí,Julie Olsen,PROD647,Grow,PRC1096,Strong,1.0566,CLP,330.86,39.13,291.73,1.1024,CLP,295.61,336.03,Marketplace,285.43,4.33,0.17,CLP,2.11,0.5,0.58,,Web,SRC-1536,SCK-6377,PayPal,Único,Único,1,1,2025-04-23,CUP-0529,12,4,Elizabeth Rojas,wcochran@example.com,Czech Republic,(866)884-5909x02259,36186371-5,75148,Fowlerport,Colorado,82097 Jacob Cliff,Campbell Fort,505,,
TRX000129,Cancelada,2021-11-20,No,Jordan Wood,PROD111,Activity,PRC3316,Congress,0.8493,CLP,458.43,82.52,375.91,1.0291,BRL,378.86,475.42,Marketplace,369.57,2.98,8.87,CLP,1.87,0.75,1.81,Theodore Myers,Redes sociales,SRC-1286,SCK-7163,Transferencia,Único,Único,1,1,2021-04-23,CUP-3467,5,2,Kenneth Collins,waynecohen@example.com,Cook Islands,9279169385,79014754-6,80851,South John,South Carolina,6291 Hale Cape Apt. 248,Estrada Cliff,4141,,@reginajenkins
TRX000130,Completada,2024-03-28,Sí,Jacob Campos,PROD843,Mother,PRC8982,Space,1.1806,EUR,529.64,102.46,427.18,0.8513,USD,431.79,549.53,Online,421.68,2.91,0.67,EUR,3.29,0.9,0.64,Jennifer Martin,Tienda física,SRC-3807,SCK-0176,Transferencia,Único,Único,1,1,2022-12-11,CUP-6360,18,3,Brian Stark,ellen77@example.com,Bangladesh,283-372-7422,24186210-4,20620,Howardborough,Virginia,837 Mary Valleys,Peter Inlet,5183,,@awilliams
TRX000131,Pendiente,2020-09-03,No,Dakota Wright,PROD556,When,PRC6877,Edge,1.1099,BRL,476.66,81.69,394.97,1.0207,USD,397.74,489.48,Marketplace,391.38,6.8,3.32,CLP,4.29,0.86,0.28,,Tienda física,SRC-3106,SCK-0053,Tarjeta de crédito,Único,Único,1,1,2023-12-08,CUP-1312,28,1,Amanda Hunt,marcus39@example.org,Vietnam,+1-466-213-3155,65063731-4,85690,Bradleyborough,Nebraska,718 Johnathan Court Suite 625,Cynthia Spurs,8310,,
TRX000132,Pendiente,2022-01-08,Sí,Karen Rogers,PROD890,Politics,PRC5767,Which,0.8536,CLP,1515.64,144.64,1371.0,0.9587,CLP,1379.94,1520.85,Marketplace,1365.6,78.47,17.84,USD,51.79,9.68,14.74,Janet Davidson,App,SRC-3890,SCK-3091,Efectivo,Recurrente,Anual,3,3,2022-10-08,CUP-6391,30,5,James Phillips,nicholasmay@example.org,Uzbekistan,001-797-752-4508x6403,33803396-8,42658,South Crystal,California,30232 Glenn Plaza Apt. 381,Hardy Inlet,2396,Apto. 48,
TRX000133,Pendiente,2021-04-02,No,Jeff Obrien,PROD580,Floor,PRC8448,Feeling,1.1526,CLP,137.52,20.3,117.22,1.1922,EUR,120.91,138.78,Online,116.79,2.07,9.08,EUR,4.26,0.26,1.09,Tracy Harris,Redes sociales,SRC-7156,SCK-6277,PayPal,Único,Único,1,1,2023-05-15,CUP-9627,20,1,James Dickerson,brooke28@example.net,China,467-947-4689x715,32300857-6,55003,Wallerstad,Missouri,9160 Paul Port Apt. 364,Hicks Overpass,8466,Apto. 17,
TRX000134,Completada,2023-08-09,No,Anthony Cruz,PROD269,Language,PRC4768,Simply,0.8308,EUR,303.24,40.22,263.02,0.8846,USD,267.89,320.59,Online,258.2,6.04,5.02,EUR,3.21,0.82,1.32,John Dorsey,Tienda física,SRC-5024,SCK-9724,Tarjeta de crédito,Único,Único,1,1,2022-05-06,CUP-9201,21,4,Maria Rangel,fmccarthy@example.net,United States of America,662.864.4886,11952436-4,01342,Port Travis,Connecticut,686 Quinn Extension,Nicholas Squares,7849,,
TRX000135,Completada,2021-02-07,No,Mr. Brian Bradley,PROD284,Difference,PRC9464,Cultural,1.1833,CLP,144.82,15.42,129.4,1.1514,EUR,130.75,156.67,Online,124.27,8.91,1.47,USD,2.52,0.99,1.73,Paul Lamb,Redes sociales,SRC-3467,SCK-9121,Transferencia,Recurrente,Mensual,10,3,2022-10-09,CUP-6141,21,5,Kevin Woods,smithjoseph@example.org,Papua New Guinea,001-601-938-0698,75965555-3,47845,Grayton,Minnesota,07620 Misty Harbors Apt. 579,Robertson Shore,4334,Apto. 11,
TRX000136,Completada,2021-05-15,Sí,Dr. Robin Smith,PROD281,Here,PRC8796,Tv,1.1606,CLP,141.96,19.35,122.61,1.1511,CLP,124.63,144.13,Online,114.01,5.04,4.2,BRL,3.47,0.9,1.08,Robert Nguyen,Redes sociales,SRC-7397,SCK-6915,Efectivo,Único,Único,1,1,2023-02-02,CUP-7164,27,1,Michelle Kane,andersonlaura@example.com,Syrian Arab Republic,+1-887-227-1783x33211,25643471-2,70564,Davismouth,Iowa,566 Stokes Fork,Wilson Corners,8681,,
TRX000137,Completada,2020-12-27,Sí,Kevin Lopez,PROD390,Year,PRC9908,Business,0.9635,USD,665.58,120.33,545.25,0.8022,CLP,553.62,683.74,Marketplace,539.49,12.76,7.64,CLP,8.52,1.13,1.23,,Redes sociales,SRC-9525,SCK-6904,PayPal,Recurrente,Trimestral,2,3,2021-05-04,CUP-8366,20,5,Jacob Shelton,aprilguzman@example.org,Botswana,(408)275-2437x7294,95481497-3,65384,Janetfurt,Arkansas,33027 Evans Via Apt. 086,Henderson Mountains,4156,Apto. 17,
TRX000138,Pendiente,2025-05-19,No,Jeanne Rose,PROD892,Fear,PRC7522,Fear,1.0943,CLP,2777.77,320.77,2457.0,1.0991,BRL,2462.58,2788.81,Marketplace,2455.21,67.09,58.05,USD,11.42,6.1,18.87,,Web,SRC-3861,SCK-2590,Transferencia,Recurrente,Anual,7,11,2024-09-07,CUP-4729,25,1,Michael Carter,jasonbrock@example.org,Saint Pierre and Miquelon,+1-405-291-2662x0157,18596263-0,16072,South Tracy,Vermont,617 Hill Shoal,Richardson Crest,2382,Apto. 31,@millertracy
TRX000139,Cancelada,2023-10-10,Sí,Allison Berry,PROD892,Page,PRC3871,Media,1.0561,BRL,228.39,36.68,191.71,0.8043,EUR,201.02,242.88,Online,187.7,6.56,2.86,CLP,4.03,0.51,1.4,,Web,SRC-4192,SCK-6764,PayPal,Recurrente,Mensual,4,11,2023-04-16,CUP-1518,5,1,Robert Smith,lbrown@example.net,Rwanda,+1-413-512-9208x7510,21840118-4,48153,South Tiffany,Texas,40848 Taylor Overpass,Mills Knoll,4521,Apto. 50,@haileybates
TRX000140,Cancelada,2020-08-27,No,Charles Chase,PROD455,Dinner,PRC5530,Center,0.8905,USD,1049.93,158.39,891.54,0.9819,BRL,892.23,1064.67,Marketplace,890.64,8.53,24.89,CLP,5.02,1.22,0.64,Cindy Howard,Tienda física,SRC-2961,SCK-8446,PayPal,Recurrente,Trimestral,2,9,2024-01-15,CUP-2671,28,5,Megan Bentley,amandajones@example.net,Ethiopia,+1-535-398-9262x5660,41818615-1,48056,Kimberlyberg,Iowa,16361 Gregory Stream Suite 971,Graves Way,9420,Apto. 17,
TRX000141,Completada,2021-11-03,No,Brett Williams,PROD748,Friend,PRC4610,Your,1.0708,USD,474.23,93.07,381.16,1.1201,BRL,385.77,483.41,Presencial,375.29,0.27,1.16,CLP,3.65,0.26,0.57,Catherine Shaffer,Tienda física,SRC-8896,SCK-7924,Tarjeta de crédito,Recurrente,Mensual,9,3,2021-02-23,CUP-8222,10,3,Nicolas Brown,jasmine39@example.com,Romania,327.657.8446x834,65111312-9,08026,Lake Justinfort,Alabama,827 Robertson Springs Apt. 609,Rhonda Summit,3581,Apto. 37,@kleinjacqueline
TRX000142,Cancelada,2024-03-06,No,Patrick Tapia,PROD259,Than,PRC2747,Up,0.848,CLP,287.58,33.07,254.51,1.0703,BRL,263.24,302.29,Marketplace,252.44,2.03,2.5,CLP,3.94,0.54,0.08,Melinda Williams,Tienda física,SRC-7283,SCK-2152,Efectivo,Único,Único,1,1,2023-10-22,CUP-0676,27,3,Wayne Morgan,marierosales@example.org,French Guiana,974-243-0963x4807,50975451-0,46339,South Michael,Connecticut,3188 Robert Oval Apt. 243,Foster Hills,8042,Apto. 12,@ross28
TRX000143,Completada,2024-06-27,No,Jeffrey Franco,PROD223,Color,PRC9490,Challenge,0.984,CLP,44.56,8.03,36.53,0.8047,USD,41.94,54.13,Presencial,31.51,3.94,6.86,CLP,1.96,0.61,0.52,,App,SRC-5605,SCK-3134,PayPal,Único,Único,1,1,2021-04-18,CUP-6650,30,5,Cristian Mendoza,david78@example.com,South Georgia and the South Sandwich Islands,+1-225-568-6211x02258,05690674-4,64192,Port Royberg,Washington,41436 Thomas Tunnel,Jacqueline Parkway,5622,,@jacobbond
TRX000144,Cancelada,2023-07-29,Sí,Bryan Morales,PROD933,Eye,PRC2636,Dark,1.0883,USD,261.19,45.83,215.36,1.0221,BRL,219.37,268.49,Online,210.85,5.71,9.79,USD,4.1,0.74,0.95,Jessica Jensen,Redes sociales,SRC-1066,SCK-8433,Efectivo,Único,Único,1,1,2022-04-20,CUP-7086,28,5,Elizabeth Adams,sherry63@example.com,Ukraine,6203005347,62475541-1,88181,Lake Andreaberg,Michigan,598 Allen Harbor Apt. 961,David Summit,8749,Apto. 47,
TRX000145,Cancelada,2023-06-10,Sí,Warren Henson,PROD560,Television,PRC6483,Cut,0.9039,EUR,1014.92,158.57,856.35,1.0241,EUR,863.26,1022.89,Presencial,855.75,24.41,14.3,CLP,7.06,1.05,4.08,,App,SRC-3711,SCK-8954,PayPal,Recurrente,Trimestral,6,6,2024-12-31,CUP-3820,16,4,Jason Dawson,patricia71@example.com,Bangladesh,568.880.2942x4090,78812786-8,51651,Lawsonborough,Idaho,93908 Gordon Stravenue,Turner Forges,7323,Apto. 6,
TRX000146,Completada,2021-11-29,Sí,Bryan Walker,PROD265,None,PRC6629,Economy,0.8913,EUR,7067.43,1322.67,5744.76,1.0612,EUR,5754.05,7080.24,Marketplace,5740.54,73.48,48.57,BRL,20.65,5.34,20.71,Mark Mcmahon,Redes sociales,SRC-4240,SCK-3381,Efectivo,Recurrente,Anual,3,3,2020-06-21,CUP-5955,4,2,Michael Dunn,rickycarr@example.com,Azerbaijan,+1-505-934-2408x9164,35439627-3,96158,Richardsonfort,Colorado,72239 Harding Falls Suite 042,Lisa Spur,4123,,@chadjones
TRX000147,Completada,2021-08-28,No,Tracy Garcia,PROD732,New,PRC3544,Certain,0.8337,BRL,70.49,13.67,56.82,0.9237,USD,57.36,79.95,Marketplace,49.11,5.24,9.96,EUR,2.49,0.13,1.05,Rhonda Morrison,Web,SRC-6601,SCK-0023,PayPal,Recurrente,Mensual,6,8,2024-12-08,CUP-4290,27,5,Alexandra Conner,melissa13@example.org,Lesotho,001-297-224-5723x08481,18418620-3,03646,South Paul,Minnesota,61721 Cristian Haven Suite 195,Michael Corner,4464,Apto. 36,@munozgregory
TRX000148,Pendiente,2023-01-31,No,Meghan Hernandez,PROD652,Region,PRC4721,Right,1.1219,BRL,349.97,50.46,299.51,0.9231,BRL,308.28,364.95,Presencial,295.16,6.4,5.34,USD,1.87,0.0,1.63,,Tienda física,SRC-4945,SCK-1475,PayPal,Único,Único,1,1,2025-10-02,CUP-1022,17,1,James Griffith,hbriggs@example.net,Japan,001-842-715-2265x5767,23668788-7,70293,South Christopher,Virginia,931 Michael Ford Apt. 587,Samantha Circle,8060,Apto. 49,@michael24
TRX000149,Cancelada,2022-09-25,No,Kristen Velazquez,PROD948,Know,PRC7199,Eight,0.8882,CLP,1106.82,199.23,907.59,0.9689,USD,909.48,1117.78,Marketplace,898.77,13.11,7.5,EUR,5.34,2.23,4.85,Danny Burgess,Web,SRC-1260,SCK-6501,Transferencia,Recurrente,Trimestral,3,5,2023-11-25,CUP-1792,20,4,Jacob Miller,smithmariah@example.com,Canada,001-227-228-4765x70412,92820667-8,93746,Samanthahaven,Maryland,2418 Spence Crossroad,Richard Centers,7419,Apto. 18,@philipcarson
TRX000150,Completada,2025-04-23,Sí,Angela Schwartz,PROD192,Me,PRC3468,Form,0.8059,USD,105.3,20.75,84.55,0.9368,EUR,94.27,105.74,Presencial,81.73,1.25,4.38,EUR,2.59,0.79,0.66,,App,SRC-6620,SCK-5634,Tarjeta de crédito,Único,Único,1,1,2021-05-07,CUP-1595,24,4,Douglas Weaver,lewisalex@example.com,Comoros,+1-930-234-1990,05140546-8,26044,Karenstad,Florida,6818 Andrew Underpass,Woods Ways,1170,Apto. 35,@robertsedward
TRX000151,Completada,2022-09-30,Sí,Anna Higgins,PROD571,Usually,PRC2539,Dinner,1.0085,USD,1395.09,147.57,1247.52,0.9891,EUR,1250.01,1410.45,Presencial,1239.81,13.29,22.13,USD,9.99,0.13,5.62,,Tienda física,SRC-2288,SCK-9857,Efectivo,Recurrente,Trimestral,11,5,2024-08-20,CUP-5459,11,1,Jessica Macdonald,nallen@example.net,Belarus,(997)310-2481,75242149-5,46817,North Haroldmouth,Kentucky,7219 Williams Walks Suite 669,Scott Passage,3569,,
TRX000152,Pendiente,2024-08-26,Sí,Jacqueline Fleming,PROD480,Move,PRC2466,Listen,0.8995,BRL,105.02,13.01,92.01,0.8366,EUR,99.9,107.41,Marketplace,91.92,0.42,7.83,CLP,0.77,0.64,1.4,,App,SRC-4090,SCK-3802,Efectivo,Recurrente,Mensual,4,6,2025-06-23,CUP-4629,25,3,Benjamin Price,wcaldwell@example.com,Lao People's Democratic Republic,+1-787-711-2166x3651,97371470-8,20914,Thomasborough,Massachusetts,605 Irwin Forest,Jason Brooks,7188,,@onelson
TRX000153,Cancelada,2021-04-24,Sí,Donald Miller,PROD656,Tv,PRC6696,Seem,0.9295,BRL,1245.54,150.66,1094.88,0.9101,USD,1101.95,1246.33,Online,1089.29,16.28,14.7,USD,7.57,2.46,3.25,Jason Lewis,Redes sociales,SRC-4201,SCK-6542,Transferencia,Recurrente,Trimestral,1,10,2021-12-08,CUP-6778,24,5,Caitlyn Horton,rita96@example.org,Monaco,+1-931-799-2550x272,16480727-9,13273,East Julieborough,Nebraska,635 Stephanie Springs,Mitchell Lakes,3913,,
TRX000154,Cancelada,2020-07-06,Sí,Kathryn Parrish,PROD144,Scene,PRC3126,Money,0.8715,CLP,313.38,46.59,266.79,0.8808,BRL,272.92,324.41,Online,263.56,6.41,1.1,CLP,0.64,0.64,0.78,Joy Jenkins,Tienda física,SRC-5868,SCK-5127,Tarjeta de crédito,Recurrente,Mensual,6,4,2023-06-04,CUP-2892,22,1,Jane Bruce,swalters@example.net,Wallis and Futuna,311-910-9617,89046337-8,50449,East Melissaville,Minnesota,6053 Adams Shoals Suite 463,Rachel Mall,215,Apto. 14,
TRX000155,Completada,2020-08-05,No,Richard Randall,PROD641,Natural,PRC1666,Ten,1.0937,EUR,286.22,46.87,239.35,0.8312,USD,246.78,293.44,Marketplace,230.45,8.22,7.94,CLP,0.96,0.23,0.77,Emily Jackson,App,SRC-9638,SCK-6396,Transferencia,Único,Único,1,1,2025-05-10,CUP-9626,23,5,Carrie Strong,samuelgarcia@example.org,Madagascar,396-248-2531,60920981-9,50623,Lake Jessicamouth,South Dakota,33438 Jessica Valley Suite 404,Savannah Road,6803,,
TRX000156,Completada,2020-07-19,No,Dr. Ashley Ho,PROD460,Can,PRC6163,Both,1.02,EUR,3380.09,562.85,2817.24,1.1379,BRL,2818.91,3397.75,Marketplace,2815.44,48.19,40.5,BRL,50.61,3.88,5.78,,Redes sociales,SRC-2442,SCK-1175,PayPal,Recurrente,Anual,6,8,2025-08-15,CUP-3617,30,4,Jennifer Tucker,clarkrobert@example.com,North Macedonia,922.240.2990x155,28413908-0,68395,East Michelle,Delaware,52312 Hill Flats,Michael Plaza,4,,
TRX000157,Cancelada,2023-09-09,No,Robert Graham,PROD666,Your,PRC9376,Instead,1.0225,USD,329.28,65.65,263.63,0.8377,BRL,266.63,335.32,Presencial,261.41,8.56,0.22,USD,1.12,0.37,1.16,Danielle Gonzalez,Tienda física,SRC-4619,SCK-9423,Tarjeta de crédito,Único,Único,1,1,2025-12-31,CUP-7676,12,5,Denise Flores,lawsonruben@example.net,Guinea,(717)820-8496x498,01256253-1,28705,Nathanmouth,Delaware,0537 Roach Points,Paul Rapids,3563,,
TRX000158,Cancelada,2021-06-29,No,Justin Moran,PROD180,Young,PRC1916,Use,1.1687,EUR,307.8,58.54,249.26,0.9392,BRL,257.46,321.86,Presencial,248.31,6.42,0.37,CLP,4.41,0.23,1.31,,Web,SRC-1966,SCK-5533,Efectivo,Recurrente,Mensual,1,5,2021-06-01,CUP-7704,1,3,Caleb Jackson,brittany39@example.org,Finland,2907742608,01716445-5,52974,New Kimfort,South Carolina,4771 Pace Cove,Jeffrey Views,8847,,@taylorvictoria
TRX000159,Pendiente,2024-09-26,No,Courtney Miller,PROD905,Shake,PRC7460,Week,0.8592,EUR,102.17,17.1,85.07,0.833,CLP,94.78,122.12,Marketplace,77.54,5.75,0.9,BRL,1.68,0.4,0.87,,App,SRC-5800,SCK-4010,Efectivo,Único,Único,1,1,2025-12-13,CUP-1459,6,4,Jamie Hale,brandywilson@example.com,Tokelau,(996)971-8839,45731441-5,73706,Lake Deborah,Indiana,70303 Cardenas Field,Garcia Fords,6477,,
TRX000160,Pendiente,2024-07-01,No,Kayla Edwards,PROD295,You,PRC6254,Forget,0.9378,CLP,146.74,18.01,128.73,1.1079,USD,135.58,155.34,Presencial,122.97,1.13,4.14,BRL,3.3,0.44,1.85,Mary Abbott,Tienda física,SRC-1235,SCK-6798,Transferencia,Único,Único,1,1,2021-07-26,CUP-6314,3,1,Michael Lynn,thomasnancy@example.net,Bouvet Island (Bouvetoya),707.624.0787,18156326-8,56973,Brianview,Mississippi,66343 Thompson Harbor,Stone Coves,3983,,
TRX000161,Cancelada,2023-11-02,No,Tina Robinson,PROD661,Argue,PRC8913,Want,1.0492,USD,217.52,39.32,178.2,1.078,CLP,182.91,223.62,Presencial,174.88,7.4,2.12,CLP,1.65,0.06,0.4,,Tienda física,SRC-0943,SCK-1814,Tarjeta de crédito,Recurrente,Mensual,8,11,2021-07-30,CUP-9666,2,4,Nicholas Suarez,tyler23@example.com,Northern Mariana Islands,394-401-2897x4325,25720765-0,23768,Nicoleburgh,Utah,579 Tracy Gateway,Rodriguez Viaduct,4446,Apto. 43,
TRX000162,Pendiente,2020-07-08,Sí,Donna Perez,PROD290,Most,PRC4258,Computer,1.0003,BRL,188.97,35.65,153.32,1.0243,CLP,163.12,196.7,Online,148.23,7.1,9.04,USD,4.65,0.3,0.98,,Web,SRC-2114,SCK-5775,PayPal,Único,Único,1,1,2026-05-04,CUP-4745,11,3,Ronald Turner,patricia97@example.org,Faroe Islands,+1-580-326-3257x03965,36148782-4,89507,Pamelafurt,Pennsylvania,4309 Flowers Crossing Suite 795,Rodriguez Branch,4954,Apto. 16,
TRX000163,Cancelada,2022-12-04,Sí,Julie Hernandez,PROD189,Figure,PRC7262,Price,1.0083,USD,1636.44,297.54,1338.9,0.9669,USD,1344.45,1637.03,Presencial,1336.1,4.55,26.92,EUR,13.78,0.99,3.25,Carla Tucker,App,SRC-1407,SCK-0349,Transferencia,Recurrente,Trimestral,3,5,2022-01-06,CUP-7406,22,5,Roy Williams,michaelcampbell@example.net,Papua New Guinea,001-782-514-2369x14307,66614494-2,74413,Sheltonmouth,Pennsylvania,342 Spencer Hollow,Miller Port,2216,,
TRX000164,Pendiente,2025-01-23,No,Clifford Patton,PROD521,These,PRC5970,Leave,0.9772,EUR,195.97,30.4,165.57,0.8608,USD,166.75,214.94,Online,162.39,8.8,7.27,USD,1.33,0.76,1.22,Joseph Benson,App,SRC-8575,SCK-6766,Transferencia,Único,Único,1,1,2023-01-23,CUP-8061,21,1,Lisa Turner,bettywatson@example.net,Mayotte,001-940-262-6078,10415914-9,63607,Michelleville,West Virginia,382 Taylor Spring,Kevin Inlet,5887,Apto. 6,@shaffercindy
TRX000165,Completada,2021-06-08,No,Christian Hobbs,PROD522,Nature,PRC4646,Bill,1.0969,USD,4442.14,502.66,3939.48,1.1031,CLP,3944.22,4449.89,Online,3937.84,27.15,49.03,BRL,52.82,5.88,7.8,Brian Johnson,App,SRC-8760,SCK-1467,Efectivo,Recurrente,Anual,7,1,2026-03-13,CUP-3849,23,4,Shannon Williamson,bthomas@example.org,Cambodia,001-732-688-3774x4197,66176620-4,60411,New Pedroshire,Maryland,970 Estes Mountain,Hill Estate,5127,,
TRX000166,Cancelada,2022-03-21,Sí,Kathy Bailey,PROD294,Seat,PRC5770,Network,0.9758,EUR,1378.18,132.49,1245.69,1.1095,EUR,1250.88,1398.1,Presencial,1241.73,22.06,16.73,USD,7.2,1.84,0.33,,App,SRC-6812,SCK-2595,Efectivo,Recurrente,Trimestral,11,8,2022-11-09,CUP-2446,23,5,Ryan Webb,lobrien@example.net,Russian Federation,484.525.9959x96100,11775331-2,95942,Camposchester,California,410 Scott Landing,Sandra Islands,1855,,@halenicholas
