Código de la transacción;Estatus de la transacción;Fecha de la transacción;Confirmación del pago;Productor(a);Código del producto;Producto;Código del precio;Nombre de este precio;Tasa de conversión (moneda de compra);Moneda de compra;Valor de compra con impuestos;Impuestos locales de compra + Tarifa de pago en cuotas;Valor de compra sin impuestos;Tasa de conversión (moneda en la que recibes los valores);Moneda en la que recibirás los valores;Facturación bruta (sin impuestos);Facturación bruta;Tipo de venta;Faturación neta del Productor(a);Comisión del Afiliado(a);Facturación del(de la) Coproductor(a);Moneda de las tarifas;Tarifa de procesamiento;Tasa de streaming;Otras tarifas;Nombre del Afiliado(a);Canal usado para la venta;Código SRC;Código SCK;Método de pago;Tipo de cobro;Cantidad total de cuotas;Cantidad de cobros;Fecha de vencimiento (vouchers);Código del cupón;Período de prueba (trial);Cantidad de ítems;Comprador(a);Email del Comprador(a);País;Teléfono;Documento;Código postal;Ciudad;C. Autónoma/Dpto./Estado/Prov.;Dirección;Barrio;Número;Apto./piso/casa;Instagram
TRX000123;Completada;12-05-2023;Sí;Amy Hunter;PROD257;Thing;PRC6285;Operation;10.388;EUR;260.33;40.36;219.97;0.9962;EUR;2.258.098.605.768.390;2.629.313.306.023.070;Online;2.174.198.385.186.750;33.056.278.874.226.900;7.096.892.963.163.140;EUR;2.86;0.96;1.04;;App;SRC-0653;SCK-3315;Efectivo;Recurrente;2;6;08-09-2021;CUP-7795;28;2;Kylie Rogers;robert21@example.com;Turkey;5739033793;56362050-1;47409;New Dariusport;New Hampshire;950 James Haven;Jeffery Greens;5438;Apto. 22;@matthewspencer
TRX000124;Pendiente;27-04-2021;No;Ryan Lozano;PROD346;Against;PRC4994;Theory;11.836;EUR;5.673.299.999.999.990;91.68;475.65;0.9525;CLP;4.812.633.468.317.750;5.768.271.437.747.220;Presencial;46.812.866.243.264.500;6.493.001.133.859.430;11.472.195.140.226.500;EUR;2.93;0.28;1.82;;Tienda física;SRC-2615;SCK-3473;Efectivo;Recurrente;1;5;11-03-2023;CUP-5289;6;3;Sherry Jones;nicoleanderson@example.org;Congo;-7532;25304289-7;27926;Port Thomasland;Hawaii;857 White Station Suite 877;Adams Locks;8420;;@clarkpatricia
TRX000125;Pendiente;09-09-2022;Sí;Daniel Coleman;PROD310;Huge;PRC9810;Owner;11.315;BRL;565.06;86.48;478.58;10.586;CLP;47.923.471.822.103.700;5.652.066.117.243.360;Marketplace;47.187.664.873.856.900;7.735.822.663.692.760;8.649.508.557.126.310;USD;0.61;0.72;0.08;Ryan Scott;App;SRC-1214;SCK-7853;PayPal;Único;10;4;17-09-2023;CUP-7895;13;4;John Ortiz;ystewart@example.org;Christmas Island;534.315.1488x814;11508353-5;33272;Julieview;Illinois;840 Campbell Key;Bautista View;7392;Apto. 41;@kennedywilliam
TRX000126;Cancelada;26-03-2024;Sí;James Perez;PROD466;So;PRC9238;Determine;0.8425;EUR;21.950.000.000.000.000;3.67;18.28;10.426;EUR;24.694.227.464.816.300;3.264.668.740.122.000;Presencial;1.209.650.641.089.390;7.559.605.966.951.770;5.856.080.133.133.890;BRL;2.28;0.66;0.95;;App;SRC-7389;SCK-8775;Efectivo;Recurrente;11;3;21-10-2024;CUP-5366;21;3;Jerry Hansen;don24@example.net;Algeria;255.436.6684x5909;25999966-3;51702;New Paulfort;Connecticut;741 Damon Plaza Apt. 097;Jacob Cliff;183;;@ocampbell
TRX000127;Pendiente;19-11-2021;Sí;Jordan Wood;PROD522;Activity;PRC9397;Congress;0.857;USD;14.82;2.36;12.46;0.8883;EUR;2.192.979.389.228.870;2.556.304.097.108.920;Online;9.413.088.476.504.910;7.482.965.867.327.930;903.546.375.974.546;CLP;1.32;0.8;1.7;;Redes sociales;SRC-5662;SCK-1286;Tarjeta de crédito;Recurrente;11;2;04-03-2023;CUP-1632;3;2;Emily Meyers;kmoore@example.com;Namibia;8.875.430.271;85977790-1;38238;Reedport;Montana;3296 Cruz Shoals;Holly Court;9513;Apto. 32;@chale
TRX000128;Cancelada;17-08-2021;No;Denise Fuller;PROD810;Film;PRC3496;Reflect;10.262;EUR;384.75;45.82;338.93;11.231;BRL;33.962.808.884.710.900;3.904.527.428.775.300;Online;336.995.014.308.856;4.858.612.302.738.870;32.834.607.821.958.000;CLP;1.91;0.79;1.42;;Tienda física;SRC-1376;SCK-8151;PayPal;Único;11;12;01-09-2024;CUP-8567;28;4;Daniel Williams;jonesheather@example.net;Kyrgyz Republic;(956)336-0041x2577;18372742-2;2868;East Kellyside;West Virginia;10427 Thompson Station Apt. 837;Mary Valleys;7584;Apto. 29;
TRX000129;Completada;16-01-2023;No;Mary Garcia;PROD851;Road;PRC2252;Foot;1.091;CLP;277.54;28.92;248.62;11.398;CLP;24.943.973.693.086.100;29.045.103.208.163.700;Marketplace;24.581.384.060.362.600;8.264.436.732.232.690;891.297.038.932.279;BRL;3.96;0.21;0.07;Kyle Williams;Redes sociales;SRC-6335;SCK-3310;Transferencia;Recurrente;7;4;13-05-2023;CUP-0531;23;3;Stephen Robles;jenniferwilliams@example.net;Botswana;758-439-3866x13315;06506373-1;86741;Debrastad;Arizona;64971 Johnathan Court;Jarvis Square;2194;;@xgregory
TRX000130;Pendiente;24-11-2023;Sí;Mark Henson;PROD283;Friend;PRC3395;Today;10.944;BRL;307.12;51.06;256.06;11.757;CLP;264.125.400.569.279;32.407.963.680.207.700;Online;2.499.196.402.343.980;16.584.355.203.215.800;51.413.668.051.638.200;BRL;1.54;0.26;0.47;;Tienda física;SRC-7150;SCK-9976;Efectivo;Recurrente;8;1;15-01-2023;CUP-3890;20;3;Luis Mosley;joel63@example.net;Belgium;2255743263;97524508-6;85441;Karenbury;Washington;3380 Laurie Square Apt. 968;White Roads;1692;Apto. 46;
TRX000131;Cancelada;17-06-2020;No;Andrea Lee;PROD485;Protect;PRC4651;Chance;10.065;EUR;164.27;25.25;139.02;11.269;EUR;14.555.675.313.133.800;16.774.699.632.892.900;Presencial;13.536.703.222.008.900;6.533.365.465.568.490;8.354.690.676.766.440;BRL;4.49;0.01;1.76;Beth Thompson;App;SRC-8338;SCK-1674;Tarjeta de crédito;Recurrente;4;3;06-07-2021;CUP-3362;5;3;Elizabeth Ray;josephharrington@example.org;Zambia;(266)827-7689x627;61498282-4;50367;Torresport;Missouri;52732 Adam Wall Suite 766;Waller Landing;9864;;
TRX000132;Pendiente;07-05-2022;Sí;William Jones;PROD349;Value;PRC1706;American;0.8512;USD;245.03;31.87;213.16;0.8539;CLP;21.991.229.426.315.500;24.729.677.395.127.900;Marketplace;2.083.697.883.663.540;5.907.908.988.091.810;6.472.592.341.405.520;USD;0.75;0.26;0.36;;Web;SRC-1692;SCK-3645;PayPal;Único;4;8;30-10-2023;CUP-7506;15;4;Nancy Allen;dorseymichael@example.net;Philippines;4242972439;11669183-6;22235;Kingport;North Carolina;461 Daisy Trail Suite 243;Hale Avenue;2795;Apto. 15;
TRX000133;Pendiente;12-05-2025;Sí;April Jones;PROD335;Same;PRC7196;Key;0.9542;CLP;488.44;89.08;399.36;0.8066;BRL;40.595.648.750.057.800;492.077.683.037.402;Online;3.967.147.930.145.470;7.241.867.980.777.550;3.426.712.745.603.310;CLP;1.3;0.9;1.2;;Web;SRC-8646;SCK-2252;Tarjeta de crédito;Recurrente;11;3;16-10-2024;CUP-3728;17;1;Joanne Olsen;jamesbrady@example.org;Eritrea;(579)912-1416x14150;71004090-1;28166;South Carrieview;New York;9655 Key Viaduct Apt. 566;Theresa Well;7070;Apto. 34;@linda07
TRX000134;Cancelada;11-10-2024;Sí;Russell Buckley;PROD535;Agree;PRC3193;Play;0.9018;USD;36.89;5.61;31.28;1.164;CLP;39.303.001.960.078.100;41.479.725.127.581.000;Presencial;23.384.444.148.490.400;3.812.364.961.990.550;5.890.480.861.412.060;BRL;1.66;0.01;1.49;Joseph Tapia;Web;SRC-3579;SCK-7863;Tarjeta de crédito;Recurrente;11;4;30-05-2021;CUP-5050;25;3;Nancy Gregory;catherineross@example.net;South Africa;456-271-6493;27148727-1;63699;East Jason;Wisconsin;60256 Robinson Glens;Lynn Skyway;6699;;@wadesandra
TRX000135;Completada;06-08-2023;No;Robert Cook II;PROD665;Parent;PRC8904;Space;0.8715;BRL;37.471.999.999.999.900;45.45;329.27;0.9015;EUR;33.350.561.547.433.300;39.181.953.852.535.800;Marketplace;3.256.135.590.556.350;27.556.054.287.998.800;6.806.057.050.634.480;EUR;3.98;0.4;0.28;;Web;SRC-9156;SCK-6863;Transferencia;Recurrente;12;3;08-09-2021;CUP-1411;6;5;Patrick Pineda;berrydavid@example.com;Zimbabwe;(590)340-9836x6552;60875243-7;89627;Hernandezport;Georgia;548 Joshua Vista;Welch Forge;6563;;@ycarter
TRX000136;Completada;21-09-2020;No;Brittany Moran;PROD181;Thus;PRC1618;Significant;10.898;BRL;531.29;48.65;482.64;10.456;EUR;48.409.328.435.835.700;533.111.771.684.774;Marketplace;4.733.813.821.220.210;435.377.434.552.764;0.6408045636931059;CLP;4.76;0.82;1.28;Courtney Fitzgerald;App;SRC-2764;SCK-2086;PayPal;Único;1;10;31-10-2022;CUP-7566;16;2;Nicholas Campbell;jacquelinekelley@example.org;Bulgaria;590-247-2927x74233;59126620-1;47108;Whiteton;Delaware;626 Austin Garden Suite 749;Denise Lane;2777;;@stricklandmichelle
TRX000137;Completada;05-09-2023;Sí;Matthew Richardson;PROD854;Call;PRC2124;But;11.677;EUR;412.49;81.53;330.96;10.905;EUR;3.337.193.687.012.540;41.422.685.625.148.000;Presencial;326.965.663.100.397;6.696.620.463.963.080;40.545.096.685.052.000;EUR;1.52;0.96;0.91;John Barnett;Web;SRC-8309;SCK-9974;PayPal;Único;7;9;18-01-2024;CUP-1926;17;1;Mr. Jeffrey Duncan;nguyenjennifer@example.net;Colombia;(306)488-8718x9813;92087510-2;75878;Lake Evan;Oklahoma;11845 Rodney Shoals Apt. 340;Hopkins Mills;8244;Apto. 19;
TRX000138;Cancelada;16-02-2021;No;Erik Bartlett DVM;PROD888;Police;PRC4985;Nothing;1.103;BRL;501.68;98.24;403.44;10.726;CLP;41.157.147.349.606.300;5.192.022.609.248.610;Presencial;39.769.106.121.226.000;6.941.918.614.713.000;9.660.554.556.331.050;CLP;1.66;0.38;1.58;Melissa Bates;App;SRC-0303;SCK-2432;PayPal;Recurrente;6;9;10-03-2024;CUP-3954;0;3;Marcus Jones;jorge26@example.com;Belize;462-883-1435x989;25660931-4;16835;Lake Amyland;Michigan;5423 Smith Lane;Nicholas Cove;4068;;@thompsonjessica
TRX000139;Completada;17-12-2021;Sí;Katherine Rice;PROD610;School;PRC4271;Owner;0.8939;USD;43.394.000.000.000.000;57.03;376.91;11.491;USD;37.869.485.747.252.000;44.503.103.008.082.400;Online;3.737.712.722.044.030;21.856.613.378.462.300;5.737.126.191.636.600;USD;4.26;0.84;0.71;;Web;SRC-4849;SCK-1025;Tarjeta de crédito;Recurrente;10;1;02-12-2025;CUP-6258;30;1;Sonia Powell;jonathonparks@example.net;Cape Verde;+1-722-969-4053x96727;84468341-4;53783;Meganland;California;29014 Stokes Branch;Rhodes Street;7902;Apto. 24;@timothyrobertson
TRX000140;Completada;01-06-2025;Sí;Melissa Sullivan;PROD155;Practice;PRC9613;Customer;11.197;BRL;608.42;115.59;492.83;11.759;CLP;49.773.805.351.606.500;625.795.376.712.491;Marketplace;48.298.605.317.322.400;9.160.068.296.725.570;28.026.662.318.318.700;EUR;2.27;0.69;0.35;;Redes sociales;SRC-0685;SCK-3890;PayPal;Único;1;11;05-10-2023;CUP-2832;12;5;Ryan Palmer;hendersonnicholas@example.com;Bouvet Island (Bouvetoya);638-214-4744x30963;79705097-5;39606;Danielstad;Washington;5016 Gonzalez Pines;Robert Oval;1651;Apto. 21;
TRX000141;Completada;18-06-2020;No;Danielle Ruiz;PROD817;House;PRC7099;Firm;0.946;BRL;162.27;25.02;137.25;0.9119;USD;14.196.345.364.738.400;16.701.278.305.015.000;Marketplace;13.111.915.956.861.500;36.592.415.112.192.600;4.987.700.166.101.960;USD;4.91;0.69;1.63;;App;SRC-5628;SCK-4177;Efectivo;Recurrente;4;3;13-06-2021;CUP-5605;15;1;Michelle Rodriguez;billy66@example.net;Greenland;9234741678;56862110-2;20888;Vincentbury;Arkansas;9067 Campbell Corner Suite 392;John Trafficway;2894;Apto. 27;@linvirginia
TRX000142;Completada;31-08-2021;No;Christina Mccarthy;PROD201;Take;PRC3676;Board;0.824;EUR;5.348.199.999.999.990;87.12;447.7;0.9906;CLP;45.085.727.247.188.400;545.499.651.755.178;Presencial;4.428.337.980.255.450;2.509.740.334.908.540;8.585.019.824.492.520;EUR;1.67;0.36;1.11;;Tienda física;SRC-8923;SCK-9231;Tarjeta de crédito;Recurrente;2;6;16-01-2022;CUP-0432;30;5;Luis Davis;jamesalicia@example.net;North Macedonia;6.353.670.860;45456350-2;5860;North Donnamouth;Indiana;4916 Johnny Overpass Suite 541;Elizabeth Springs;3260;;
TRX000143;Pendiente;09-03-2023;Sí;Erin Figueroa;PROD989;High;PRC3745;Situation;10.562;EUR;171.69;22.23;149.46;0.9687;BRL;1.572.074.436.712.650;18.189.889.051.072.200;Online;14.499.069.882.917.100;0.7840752140485485;6.136.637.723.931.930;CLP;1.23;0.23;0.63;Kendra Watson;Tienda física;SRC-4396;SCK-1129;Efectivo;Recurrente;8;6;08-11-2021;CUP-9337;16;4;Angela Payne;kevin73@example.net;Saint Helena;(702)936-8485;16176880-2;79033;Heatherberg;Maine;036 Cohen Ways;Gabriel Terrace;6783;;
TRX000144;Completada;22-12-2022;Sí;Jeanette Lawson;PROD999;Design;PRC8752;Create;10.194;CLP;80.91;9.64;71.27;11.084;CLP;7.870.875.344.847.860;8.594.294.020.003.630;Online;6.377.260.263.084.880;21.057.149.147.175.500;3.970.455.833.003.610;EUR;3.28;0.08;1.86;Kenneth Vargas;App;SRC-0878;SCK-8443;Transferencia;Recurrente;8;11;01-02-2022;CUP-4812;4;5;Joseph Carter;sheriramirez@example.org;Faroe Islands;7333810595;84269450-0;47094;Lake Tammy;Idaho;89164 Lisa Forges Suite 439;Moore Fort;2796;;
TRX000145;Cancelada;28-01-2024;Sí;Charles Mendoza;PROD705;Mission;PRC8480;Course;10.524;BRL;49.578.999.999.999.900;64.21;431.58;10.094;EUR;44.132.981.545.440.000;50.531.309.481.310.700;Presencial;4.261.741.583.860.770;27.241.442.761.231.400;4.448.449.323.707.430;BRL;2.93;0.8;0.88;Robert Thompson;Tienda física;SRC-9724;SCK-0422;Transferencia;Recurrente;1;1;31-03-2025;CUP-9312;26;2;David Stout;hgarcia@example.org;Saint Lucia;001-409-216-6010x02314;01851327-9;58739;West Martin;Georgia;84810 Curtis Hill;William Villages;5635;Apto. 19;
TRX000146;Completada;03-07-2022;No;Danny Perez;PROD293;Image;PRC7745;Choice;11.529;BRL;407.32;60.31;347.01;0.9579;USD;35.000.610.517.987.100;42.242.945.401.744.000;Marketplace;3.393.513.079.656.330;7.979.647.762.546.130;597.003.752.225.752;BRL;4.23;0.22;0.16;;Tienda física;SRC-5436;SCK-1721;PayPal;Recurrente;7;4;25-08-2021;CUP-4519;5;2;Isaac Middleton;huangcassandra@example.org;Japan;659.326.2494x51475;02252677-1;15333;Moyerview;Georgia;2265 Snyder Orchard;Guzman Roads;4745;Apto. 8;
TRX000147;Completada;04-02-2022;No;Martha Sanchez;PROD375;Kid;PRC3048;Often;10.861;CLP;17.107.999.999.999.900;27.73;143.35;0.8931;USD;14.354.395.397.246.900;17.483.578.885.088.000;Online;142.853.679.277.769;5.349.707.530.597.660;18.593.759.814.152.500;BRL;1.48;0.42;1.57;Joseph Patel PhD;Tienda física;SRC-6196;SCK-8931;Efectivo;Único;6;2;23-10-2021;CUP-0305;1;3;Tina Mccall;pruittmichael@example.org;French Polynesia;228.863.3302x126;50191792-0;19753;Donaldbury;California;622 Manning Summit;Harrison Stravenue;6430;Apto. 5;@scott04
TRX000148;Pendiente;26-12-2020;Sí;Marvin Munoz;PROD855;Consumer;PRC1549;Most;0.8797;CLP;510.62;61.73;448.89;10.085;USD;44.901.615.487.888.100;518.251.548.170.485;Presencial;4.391.440.149.712.450;7.146.825.212.907.960;3.847.978.992.106.410;BRL;3.57;0.31;0.65;;Web;SRC-2066;SCK-7849;Tarjeta de crédito;Recurrente;8;11;10-05-2023;CUP-3624;6;3;Kelly Spence;juliamorales@example.org;Cyprus;(828)591-7756x6205;41115950-3;37490;New Daniel;Indiana;3830 Joseph Port;Anne Turnpike;854;;
TRX000149;Completada;05-11-2022;No;Brandon Parker;PROD804;Heavy;PRC3539;Society;0.9486;CLP;146.36;20.74;125.62;0.8995;BRL;13.356.390.397.340.800;14.666.135.410.537.700;Online;1.197.730.313.998.720;3.958.083.002.950.530;2.430.893.332.431.450;EUR;4.69;1.0;1.25;James Lee;App;SRC-6521;SCK-5681;Tarjeta de crédito;Único;8;4;21-05-2023;CUP-2096;17;3;Sean Johnson;edwardford@example.net;Bermuda;001-733-622-8898x572;59606339-9;10331;New Courtney;New York;24817 Shawn Extension;Martin Harbors;7188;;@michael12
TRX000150;Pendiente;24-12-2023;Sí;William Good;PROD680;Source;PRC4057;Under;10.174;EUR;23.582.000.000.000.000;40.71;195.11;1.093;EUR;19.550.488.542.715.400;24.083.392.482.201.200;Marketplace;18.804.374.021.071.900;5.590.247.906.350.680;5.427.340.768.056.940;USD;0.81;0.16;0.59;Thomas Case;Tienda física;SRC-9705;SCK-4669;Efectivo;Único;11;9;18-07-2025;CUP-2758;23;2;Tiffany Brooks;qhunter@example.net;Armenia;+1-303-580-2146x296;67157787-1;11749;Lake Daniel;Montana;65155 Lewis Streets Suite 147;Amy Mountains;307;Apto. 40;
TRX000151;Cancelada;26-02-2021;Sí;Keith Huerta;PROD727;Staff;PRC5638;Husband;0.929;EUR;15.345.000.000.000.000;26.44;127.01;0.8442;CLP;13.239.956.521.593.400;1.666.157.883.475.960;Online;12.313.509.159.819.200;52.406.976.881.045.200;4.975.491.595.695.470;USD;1.3;0.03;0.21;Robert Clarke;Web;SRC-7303;SCK-0644;Efectivo;Recurrente;9;10;04-08-2024;CUP-1214;18;3;Edwin Joseph;qwarren@example.com;Colombia;9169542356;82659608-9;26526;Lake Elizabethberg;Massachusetts;27275 Laura Spring Suite 480;Harding Walks;805;;
TRX000152;Completada;21-01-2021;No;Wayne Davis;PROD671;Discover;PRC7814;Skill;11.288;CLP;55.44;10.71;44.73;11.295;EUR;4.964.405.501.428.270;5.961.476.186.987.000;Marketplace;3.583.232.674.836.530;0.7995680323287202;801.019.949.010.884;CLP;3.8;0.83;0.16;Jennifer Payne;Web;SRC-2963;SCK-5339;Tarjeta de crédito;Único;9;7;21-06-2025;CUP-5504;6;5;Kathryn Parrish;dbanks@example.com;Isle of Man;(458)868-5127x652;64649111-1;85648;New Sarahville;New York;789 Elizabeth Walk;Lewis Trail;4076;;
TRX000153;Completada;13-09-2022;Sí;Craig Harrison;PROD911;Capital;PRC3955;Have;1.02;EUR;343.57;60.08;283.49;1.063;BRL;28.925.563.658.997.100;35.889.566.840.032.100;Presencial;27.674.507.436.255.200;7.025.504.161.808.060;4.270.749.902.935.620;EUR;2.98;1.0;1.69;Suzanne Gutierrez;Redes sociales;SRC-6053;SCK-8444;PayPal;Único;10;9;07-04-2022;CUP-6306;12;5;Alexander Gibbs;matthew96@example.org;Moldova;(439)860-9626x2658;31281964-8;21348;Jamesland;Alaska;92098 Ashley Burg Apt. 752;Denise Forges;4163;Apto. 24;@james36
TRX000154;Pendiente;11-04-2024;Sí;Denise Donovan;PROD319;Product;PRC6159;Agency;0.8087;EUR;247.31;42.74;204.57;11.676;USD;21.052.762.826.623.700;26.696.912.942.357.000;Online;1.993.939.064.115.960;9.934.120.095.545.390;3.018.416.539.323.980;CLP;2.57;0.16;0.53;;App;SRC-9117;SCK-9112;Transferencia;Recurrente;5;2;23-08-2022;CUP-2117;12;5;Susan Clark;henryandrew@example.org;Libyan Arab Jamahiriya;+1-213-366-5722x4029;55799802-8;97716;Saraborough;Rhode Island;088 Javier Lakes;Rachel Burgs;3563;;
TRX000155;Pendiente;24-01-2022;Sí;Nicholas Case;PROD848;Executive;PRC7251;Eye;0.8314;CLP;448.71;50.19;398.52;11.687;EUR;405.415.951.010.499;4.652.241.048.876.970;Presencial;392.757.675.382.233;9.076.556.421.470.940;59.523.120.255.958;BRL;2.37;0.87;1.74;Dr. Gregory Arnold;Web;SRC-4776;SCK-8634;Efectivo;Único;5;9;09-05-2021;CUP-4619;10;5;Laurie Martin;stephaniefreeman@example.com;Jamaica;+1-345-991-9663x955;20849649-8;46671;Johnsonburgh;Massachusetts;53135 Thomas Island Apt. 050;Lewis Port;9256;Apto. 10;
TRX000156;Completada;27-05-2024;No;Kristina Cruz;PROD396;Play;PRC7460;Difference;0.8592;EUR;130.9;12.71;118.19;0.833;CLP;12.211.882.704.519.000;14.553.157.147.129.800;Marketplace;11.373.383.764.022.200;5.951.321.912.948.400;5.047.293.461.120.340;BRL;1.68;0.4;0.87;;App;SRC-8318;SCK-4919;Efectivo;Único;8;7;21-10-2025;CUP-6655;18;2;Anthony Snyder;mooneyrobert@example.org;Korea;(295)296-3904;74260880-5;85013;North Terrychester;Washington;5561 Snyder Causeway Suite 477;Megan River;9195;;@johnsonbrandon
TRX000157;Completada;24-06-2020;No;Frank Watts;PROD452;Least;PRC1396;Draw;11.079;USD;16.357.999.999.999.900;23.11;140.47;11.951;BRL;14.623.018.237.245.000;17.727.475.944.699.900;Marketplace;1.393.447.012.859.770;4.135.820.524.658.300;36.526.764.443.746.000;USD;2.48;0.92;0.47;;App;SRC-2135;SCK-8004;Tarjeta de crédito;Único;12;1;09-03-2025;CUP-0104;30;5;Gary Salazar;knelson@example.org;Myanmar;912.952.9671x883;45731441-5;73706;Lake Deborah;Indiana;70303 Cardenas Field;Garcia Fords;2420;;@kathleen47
TRX000158;Pendiente;14-09-2023;No;Ashley Anderson;PROD737;Whom;PRC3315;Himself;1.078;CLP;463.0;58.9;404.1;0.9506;CLP;40.741.876.719.065.000;4.724.238.060.746.710;Presencial;39.669.987.014.993.900;21.187.531.354.875.300;5.464.242.139.701.980;USD;0.77;0.2;1.39;Jesse Oliver;Redes sociales;SRC-3631;SCK-4624;Tarjeta de crédito;Único;7;11;25-07-2025;CUP-9127;21;3;Natasha Allen;blopez@example.com;Panama;775.241.8156x32686;74510663-4;25332;Thompsonview;North Dakota;610 Susan Forges Apt. 009;Allen Place;1768;Apto. 2;
TRX000159;Cancelada;07-12-2020;Sí;Manuel Baldwin;PROD290;Including;PRC4258;Increase;10.003;BRL;37.240.999.999.999.900;44.2;328.21;10.243;CLP;3.379.761.193.988.980;38.002.402.405.925.600;Online;3.272.139.628.815.740;31.545.596.930.877.900;8.667.727.455.281.190;USD;4.65;0.3;0.98;;Web;SRC-1347;SCK-3235;PayPal;Recurrente;6;11;14-01-2024;CUP-9401;7;5;Terry Howell;melissa32@example.com;Pitcairn Islands;722-257-2076;24120957-9;632;Marksfort;Delaware;94388 Kari Trail;Craig Unions;4520;Apto. 4;
TRX000160;Cancelada;09-02-2024;Sí;Nicholas Fritz;PROD189;Even;PRC7262;Record;10.083;USD;545.48;99.18;446.3;0.9669;USD;4.518.493.935.159.680;5.460.693.179.691.040;Presencial;44.349.806.155.371.700;15.170.818.076.868.400;8.971.753.149.691.710;EUR;4.59;0.33;1.08;Mr. Adam Gomez;App;SRC-5897;SCK-1480;Transferencia;Único;5;12;27-02-2022;CUP-6325;28;5;Mr. Patrick Mcpherson MD;leestephanie@example.net;Botswana;687-582-4556x964;09859167-9;45982;Danieltown;New York;2849 Kevin Heights;Lauren Bridge;2216;;
TRX000161;Completada;12-09-2022;Sí;Roger Martinez;PROD883;Middle;PRC6221;Follow;11.521;BRL;322.25;35.48;286.77;11.845;EUR;29.209.961.546.991.700;32.360.628.082.712.500;Presencial;2.795.755.949.420.930;18.413.521.586.058.700;8.395.225.098.702.170;EUR;1.18;0.19;0.26;Harold Flowers;Tienda física;SRC-0425;SCK-4882;Transferencia;Único;4;11;26-03-2025;CUP-4236;11;1;Angela Robinson;pfitzpatrick@example.net;Northern Mariana Islands;(466)514-4942x9659;42683441-4;74774;Gardnerfurt;Nevada;87585 Gomez Mountain;Ali Mountain;7809;Apto. 9;
TRX000162;Completada;26-07-2020;No;Tina Fisher;PROD522;Someone;PRC4646;Challenge;10.969;USD;23.726.000.000.000.000;44.02;193.24;11.031;CLP;19.461.512.722.341.600;24.708.891.194.132.600;Online;19.130.740.170.521.400;0.32229553227045793;7.645.388.541.282.340;BRL;4.4;0.49;0.65;Elizabeth Sanchez;App;SRC-8529;SCK-8940;Efectivo;Recurrente;1;10;26-09-2024;CUP-6260;23;3;Phillip Holmes;millerjoseph@example.net;Botswana;491-949-7501x98038;23244079-3;15536;North Ericville;North Dakota;31708 Myers Crossing;Sullivan Ferry;6458;;
TRX000163;Cancelada;11-07-2024;No;Kimberly Underwood;PROD628;Responsibility;PRC1807;Leg;0.8759;BRL;283.11;51.82;231.29;0.9592;EUR;2.412.483.637.152.400;28.395.831.832.018.100;Presencial;22.610.297.347.412.400;39.561.119.663.589.100;7.351.700.815.502.670;BRL;1.25;0.29;1.84;;App;SRC-9162;SCK-0223;Efectivo;Recurrente;2;12;26-12-2021;CUP-8377;3;2;Michael Haley;rrichardson@example.com;Hungary;001-217-666-2047x196;09705277-4;1696;West Vincent;North Carolina;8681 Diana Knoll;Stevens Walks;9592;;@joshuafarmer
TRX000164;Pendiente;10-12-2021;Sí;Thomas Brewer;PROD835;However;PRC3024;Marriage;0.8365;BRL;185.98;17.48;168.5;10.536;CLP;17.746.617.507.283.600;19.505.361.471.508.600;Marketplace;15.954.205.092.773.300;8.825.484.473.607.180;0.9017966128947053;BRL;3.77;0.98;1.22;Catherine Erickson;Redes sociales;SRC-8842;SCK-5995;Tarjeta de crédito;Único;6;10;10-04-2024;CUP-6100;27;2;Caitlin Davis;portererin@example.com;Senegal;6.313.266.109;01759025-1;92084;Grayshire;Oklahoma;47743 Judy Mews;Christopher Burg;2657;;
TRX000165;Completada;29-07-2023;Sí;Christina Patrick;PROD737;Walk;PRC5146;Accept;0.8049;BRL;40.28;5.14;35.14;11.422;CLP;44.749.661.135.543.700;5.488.323.494.205.330;Marketplace;32.252.194.625.552.500;18.069.602.636.660.600;8.985.419.134.167.650;BRL;1.57;0.59;0.95;Jason Payne;Web;SRC-1528;SCK-7339;Tarjeta de crédito;Único;9;5;08-06-2025;CUP-8559;20;5;Sarah Solis;ypatterson@example.org;Montenegro;728-241-1730;34465124-1;70548;Port April;South Carolina;9081 Giles Greens Apt. 056;Gonzalez Track;3402;;@tayloramy
TRX000166;Completada;05-02-2024;Sí;Mary Johns;PROD526;Eat;PRC3920;Minute;0.8645;EUR;364.94;34.83;330.11;10.444;USD;336.779.965.429.462;38.201.658.574.468.300;Presencial;32.172.985.564.207.300;29.844.154.664.211.700;9.203.846.982.695.360;EUR;4.69;0.09;0.6;Travis Strong;Redes sociales;SRC-0516;SCK-9918;Tarjeta de crédito;Recurrente;9;2;26-03-2023;CUP-2401;15;2;Jordan Santos;ywoods@example.org;Angola;2038896087;62668217-1;81195;Michaelmouth;Nevada;31903 Burgess Valley;Vicki Bridge;2000;Apto. 45;@lisajones
